Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1029,528,-1.000,-1.000,1412
1,2,1025,534,0.930,0.465,1290
1,3,1022,529,0.752,0.376,1345
1,4,1018,534,0.826,0.413,1281
1,5,1016,530,0.577,0.288,1380
1,6,1009,533,0.982,0.491,1290
1,7,1006,534,0.408,0.204,1367
1,8,1004,534,0.258,0.129,1391
1,9,998,533,0.785,0.392,1450
1,10,992,536,0.865,0.433,1354
1,11,989,537,0.408,0.204,1342
1,12,985,536,0.532,0.266,1383
1,13,980,534,0.695,0.347,1358
1,14,980,541,0.903,0.452,1378
1,15,972,538,1.102,0.551,1446
1,16,970,540,0.365,0.182,1444
1,17,966,541,0.532,0.266,1409
1,18,957,536,1.328,0.664,1475
1,19,953,537,0.532,0.266,1424
1,20,952,538,0.182,0.091,1563
1,21,945,537,0.912,0.456,1531
1,22,942,541,0.645,0.323,1495
1,23,934,544,1.102,0.551,1489
1,24,929,542,0.695,0.347,1542
1,25,924,545,0.752,0.376,1569
1,26,922,546,0.288,0.144,1531
1,27,912,542,1.389,0.695,1547
1,28,908,544,0.577,0.288,1640
1,29,901,546,0.939,0.470,1526
1,30,894,545,0.912,0.456,1584
1,31,889,545,0.645,0.323,1604
1,32,885,544,0.532,0.266,1621
1,33,877,549,1.217,0.608,1559
1,34,869,549,1.032,0.516,1581
1,35,862,548,0.912,0.456,1577
1,36,860,550,0.365,0.182,1589
1,37,852,550,1.032,0.516,1577
1,38,842,550,1.290,0.645,1497
1,39,838,552,0.577,0.288,1584
1,40,828,550,1.316,0.658,1582
1,41,820,552,1.064,0.532,1484
1,42,810,549,1.347,0.673,1391
1,43,802,553,1.154,0.577,1502
1,44,796,557,0.930,0.465,1510
1,45,784,557,1.548,0.774,1521
1,46,773,554,1.471,0.735,1509
1,47,761,554,1.548,0.774,1440
1,48,750,557,1.471,0.735,1512
1,49,737,557,1.677,0.839,1512
1,50,729,560,1.102,0.551,1481
1,51,713,557,2.100,1.050,1518
1,52,696,560,2.227,1.113,1501
1,53,682,561,1.811,0.905,1568
1,54,664,558,2.354,1.177,1562
1,55,641,562,3.012,1.506,1572
1,56,624,562,2.193,1.097,1567
1,57,594,562,3.870,1.935,1598
1,58,556,562,4.902,2.451,1675
1,59,494,554,8.064,4.032,2023
1,60,461,537,4.789,2.394,1001
